year,spatial_unit,age,nat,sex,n_jan,births,hist_imm_nat_n,hist_imm_int_n,hist_imm_sub_n,hist_emi_sub_n
2022,1,29,ch,f,749,0,64,1,57,61
2022,1,30,ch,f,817,0,53,0,65,79
2022,1,31,ch,f,796,0,43,3,61,90
2022,1,32,ch,f,794,0,36,5,57,81
2022,1,33,ch,f,720,0,20,4,37,62
2022,1,34,ch,f,711,0,27,0,45,59
2022,1,35,ch,f,708,0,31,3,31,58
2022,1,36,ch,f,658,0,17,4,37,46
2022,1,37,ch,f,656,0,18,2,31,42
2022,1,38,ch,f,613,0,19,2,17,30
2022,1,39,ch,f,635,0,7,1,10,32
2022,1,40,ch,f,646,0,18,3,20,21
2022,1,41,ch,f,601,0,14,2,11,23
2022,1,42,ch,f,571,0,14,0,12,16
2022,1,43,ch,f,564,0,9,5,10,15
2022,1,44,ch,f,565,0,9,1,13,10
2022,1,45,ch,f,582,0,11,0,8,16
2022,1,46,ch,f,649,0,5,2,9,10
2022,1,47,ch,f,592,0,9,0,13,12
2022,1,48,ch,f,551,0,6,2,9,8
2022,1,49,ch,f,572,0,6,1,8,14
2022,1,50,ch,f,585,0,2,1,14,15
2022,1,51,ch,f,650,0,6,2,19,21
2022,1,52,ch,f,664,0,3,1,16,18
2022,1,53,ch,f,671,0,6,0,13,10
2022,1,54,ch,f,763,0,4,1,18,15
2022,1,55,ch,f,726,0,5,1,13,16
2022,1,56,ch,f,773,0,8,2,17,21
2022,1,57,ch,f,738,0,8,1,10,19
2022,1,58,ch,f,782,0,4,3,15,14
2022,1,59,ch,f,786,0,4,0,17,15
2022,1,60,ch,f,712,0,3,1,15,13
2022,1,61,ch,f,712,0,7,0,13,17
2022,1,62,ch,f,689,0,9,1,5,12
2022,1,63,ch,f,690,0,6,0,11,7
2022,1,64,ch,f,696,0,7,0,13,9
2022,1,65,ch,f,725,0,6,1,9,9
2022,1,66,ch,f,662,0,4,1,8,6
2022,1,67,ch,f,601,0,6,1,9,8
