age,sex,nat,year,spatial_unit,n
21,m,int,2025,5,151
22,m,int,2025,5,161
23,m,int,2025,5,178
24,m,int,2025,5,175
25,m,int,2025,5,208
26,m,int,2025,5,220
27,m,int,2025,5,212
28,m,int,2025,5,251
29,m,int,2025,5,272
30,m,int,2025,5,273
31,m,int,2025,5,249
32,m,int,2025,5,303
33,m,int,2025,5,282
34,m,int,2025,5,329
35,m,int,2025,5,322
36,m,int,2025,5,352
37,m,int,2025,5,357
38,m,int,2025,5,354
39,m,int,2025,5,371
40,m,int,2025,5,341
41,m,int,2025,5,414
42,m,int,2025,5,346
43,m,int,2025,5,362
44,m,int,2025,5,374
45,m,int,2025,5,368
46,m,int,2025,5,361
47,m,int,2025,5,339
48,m,int,2025,5,272
49,m,int,2025,5,312
50,m,int,2025,5,302
51,m,int,2025,5,280
52,m,int,2025,5,290
53,m,int,2025,5,309
54,m,int,2025,5,258
55,m,int,2025,5,255
56,m,int,2025,5,274
57,m,int,2025,5,254
58,m,int,2025,5,252
59,m,int,2025,5,283
60,m,int,2025,5,233
61,m,int,2025,5,205
62,m,int,2025,5,205
63,m,int,2025,5,172
64,m,int,2025,5,143
65,m,int,2025,5,129
66,m,int,2025,5,101
67,m,int,2025,5,100
68,m,int,2025,5,84
69,m,int,2025,5,73
70,m,int,2025,5,57
71,m,int,2025,5,55
72,m,int,2025,5,44
73,m,int,2025,5,45
74,m,int,2025,5,39
75,m,int,2025,5,39
76,m,int,2025,5,36
77,m,int,2025,5,45
78,m,int,2025,5,37
79,m,int,2025,5,41
80,m,int,2025,5,23
81,m,int,2025,5,30
82,m,int,2025,5,33
83,m,int,2025,5,37
84,m,int,2025,5,20
85,m,int,2025,5,21
86,m,int,2025,5,23
87,m,int,2025,5,22
88,m,int,2025,5,9
89,m,int,2025,5,16
90,m,int,2025,5,8
91,m,int,2025,5,5
92,m,int,2025,5,3
93,m,int,2025,5,2
94,m,int,2025,5,2
95,m,int,2025,5,0
96,m,int,2025,5,0
97,m,int,2025,5,0
98,m,int,2025,5,0
99,m,int,2025,5,0
100,m,int,2025,5,0
0,f,int,2025,5,89
1,f,int,2025,5,141
2,f,int,2025,5,138
3,f,int,2025,5,163
4,f,int,2025,5,141
5,f,int,2025,5,176
6,f,int,2025,5,157
7,f,int,2025,5,163
8,f,int,2025,5,169
9,f,int,2025,5,153
10,f,int,2025,5,142
11,f,int,2025,5,157
12,f,int,2025,5,121
13,f,int,2025,5,145
14,f,int,2025,5,138
15,f,int,2025,5,143
16,f,int,2025,5,120
17,f,int,2025,5,128
18,f,int,2025,5,119
19,f,int,2025,5,113
20,f,int,2025,5,112
21,f,int,2025,5,124
22,f,int,2025,5,130
23,f,int,2025,5,124
24,f,int,2025,5,152
25,f,int,2025,5,150
26,f,int,2025,5,176
27,f,int,2025,5,182
28,f,int,2025,5,215
29,f,int,2025,5,233
30,f,int,2025,5,244
31,f,int,2025,5,231
32,f,int,2025,5,287
33,f,int,2025,5,249
34,f,int,2025,5,286
35,f,int,2025,5,277
36,f,int,2025,5,300
37,f,int,2025,5,335
38,f,int,2025,5,348
39,f,int,2025,5,338
40,f,int,2025,5,313
41,f,int,2025,5,318
42,f,int,2025,5,320
43,f,int,2025,5,307
44,f,int,2025,5,314
45,f,int,2025,5,289
46,f,int,2025,5,295
47,f,int,2025,5,289
48,f,int,2025,5,259
49,f,int,2025,5,231
50,f,int,2025,5,239
51,f,int,2025,5,243
52,f,int,2025,5,211
53,f,int,2025,5,220
54,f,int,2025,5,246
55,f,int,2025,5,210
56,f,int,2025,5,186
57,f,int,2025,5,187
58,f,int,2025,5,175
59,f,int,2025,5,193
60,f,int,2025,5,150
61,f,int,2025,5,158
62,f,int,2025,5,135
63,f,int,2025,5,130
64,f,int,2025,5,110
65,f,int,2025,5,94
66,f,int,2025,5,74
67,f,int,2025,5,72
68,f,int,2025,5,68
69,f,int,2025,5,62
70,f,int,2025,5,56
71,f,int,2025,5,54
72,f,int,2025,5,43
73,f,int,2025,5,39
74,f,int,2025,5,29
75,f,int,2025,5,37
76,f,int,2025,5,32
77,f,int,2025,5,35
78,f,int,2025,5,29
79,f,int,2025,5,33
80,f,int,2025,5,30
81,f,int,2025,5,28
82,f,int,2025,5,17
83,f,int,2025,5,17
84,f,int,2025,5,23
85,f,int,2025,5,28
86,f,int,2025,5,25
87,f,int,2025,5,19
88,f,int,2025,5,12
89,f,int,2025,5,12
90,f,int,2025,5,9
91,f,int,2025,5,1
92,f,int,2025,5,4
93,f,int,2025,5,2
94,f,int,2025,5,3
95,f,int,2025,5,3
96,f,int,2025,5,0
97,f,int,2025,5,1
98,f,int,2025,5,0
99,f,int,2025,5,0
100,f,int,2025,5,0
